[MAP_WIDTH]
320
[MAP_HEIGHT]
320
[SPRITE_ID_CELLS]
97,98,97,98,97,98,97,98,97,98,97,98,97,98,97,98,97,98,97,98
109,110,109,110,109,110,109,110,109,110,109,110,109,110,109,110,109,110,109,110
97,98,97,98,97,98,97,98,97,98,97,98,97,98,97,98,97,98,97,98
109,110,109,110,109,110,109,110,109,110,109,110,109,110,109,110,109,110,109,110
97,98,97,98,77,77,77,77,77,77,77,77,77,77,77,89,97,98,97,98
109,110,109,110,77,77,77,77,77,77,77,77,77,77,77,89,109,110,109,110
97,98,97,98,65,64,65,64,65,64,65,64,65,64,65,88,97,98,97,98
109,110,109,110,64,65,64,65,64,65,64,65,64,65,64,76,109,110,109,110
97,98,97,98,65,64,65,64,65,64,65,64,65,64,65,88,97,98,97,98
82,71,71,72,64,65,64,65,64,65,64,65,64,65,64,76,109,110,109,110
82,71,71,72,65,64,65,64,65,64,65,64,65,64,65,88,97,98,97,98
109,110,109,110,106,65,64,65,64,65,64,65,64,65,64,76,109,110,109,110
97,98,97,98,106,64,65,64,65,64,65,64,65,64,65,88,97,98,97,98
109,110,109,110,64,65,64,65,64,65,64,65,64,65,64,76,109,110,109,110
97,98,97,98,65,64,65,64,65,64,65,64,65,64,65,88,97,98,97,98
109,110,109,110,64,65,64,65,64,65,64,65,64,65,64,76,109,110,109,110
97,98,97,98,97,98,97,98,97,95,95,98,97,98,97,98,97,98,97,98
109,110,109,110,109,110,109,110,109,95,95,110,109,110,109,110,109,110,109,110
97,98,97,98,97,98,97,98,97,95,95,98,97,98,97,98,97,98,97,98
109,110,109,110,109,110,109,110,109,95,95,110,109,110,109,110,109,110,109,110
