[MAP_WIDTH]
512
[MAP_HEIGHT]
528
[SPRITE_ID_CELLS]
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
51,51,67,68,68,68,68,68,68,68,68,72,73,68,68,72,73,68,68,68,68,68,68,72,73,68,68,68,68,68,51,51
55,51,78,79,79,79,79,79,79,79,79,83,84,79,79,83,84,79,79,79,79,79,79,83,84,79,79,79,79,79,51,55
55,51,78,79,79,79,79,79,79,79,79,83,84,79,79,83,84,79,79,79,79,79,79,83,84,79,79,79,79,79,51,55
51,51,78,79,79,79,79,79,79,79,79,94,95,79,79,94,95,79,79,79,79,79,79,94,95,79,79,79,79,79,51,51
51,51,78,79,79,79,79,79,79,79,51,51,51,51,51,107,107,51,51,107,107,51,51,51,51,51,79,79,79,79,51,51
55,51,78,79,79,79,79,79,51,51,51,55,55,51,51,51,51,51,51,51,51,51,51,55,55,51,51,51,79,79,51,55
55,51,48,49,79,79,79,79,79,68,51,55,55,51,51,55,55,51,51,55,55,51,51,55,55,51,67,68,79,79,51,55
51,51,59,60,79,79,79,79,79,79,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,78,79,79,79,51,51
51,51,51,51,51,51,79,79,79,79,68,72,73,68,68,68,68,68,68,72,73,68,51,51,51,51,78,79,79,79,51,51
55,51,51,55,55,51,51,51,79,79,79,83,84,79,79,79,79,79,79,83,84,79,51,55,55,51,78,79,51,51,51,55
55,51,51,55,55,51,67,79,79,79,79,83,84,79,79,79,79,79,79,83,84,79,51,55,55,51,78,79,79,68,51,55
51,51,51,51,51,51,78,79,79,79,79,94,95,79,79,79,79,79,79,94,95,79,51,51,51,51,78,79,79,79,51,51
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,79,79,79,79,51,51
55,51,51,55,55,51,51,55,55,51,51,55,55,51,51,55,55,51,51,55,55,51,51,55,55,51,51,51,79,79,51,55
55,51,51,55,55,51,51,55,55,51,51,55,55,51,51,55,55,51,51,55,55,51,51,55,55,51,67,68,79,79,51,55
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,79,79,79,79,51,51
51,51,67,68,68,68,68,68,68,68,51,51,51,51,67,68,68,68,68,72,73,68,68,68,68,68,79,79,79,79,51,51
55,51,78,79,79,79,79,79,79,79,51,55,55,51,78,79,79,79,79,83,84,79,79,79,79,79,79,79,51,51,51,55
55,51,78,79,79,79,79,79,79,79,51,55,55,51,78,79,79,79,79,83,84,79,79,79,79,79,79,79,79,68,51,55
51,51,78,79,79,79,79,79,79,79,51,51,51,51,78,79,79,79,79,94,95,79,79,79,79,79,79,79,79,79,51,51
51,51,78,79,79,79,79,79,79,79,51,51,51,51,78,79,79,79,51,51,51,51,51,107,107,51,79,79,79,79,51,51
55,51,78,79,79,79,79,79,51,51,51,55,55,51,51,51,79,79,51,55,55,51,51,51,51,51,51,51,79,79,51,55
55,51,48,49,79,79,79,79,79,68,51,55,55,51,67,68,79,79,51,55,55,51,51,55,55,51,67,68,79,79,51,55
51,51,59,60,79,79,79,79,79,79,51,51,51,51,78,79,79,79,51,51,51,51,51,51,51,51,78,79,79,79,51,51
51,51,51,51,51,51,79,79,79,79,68,72,73,68,79,79,79,79,51,51,51,51,68,72,73,68,79,79,79,79,51,51
55,51,51,55,55,51,51,51,79,79,79,83,84,79,79,79,51,51,51,55,55,51,79,83,84,79,79,79,51,51,51,55
55,51,51,55,55,51,67,68,79,79,79,83,84,79,79,79,79,68,51,55,55,51,79,83,84,79,79,79,79,68,51,55
51,51,51,51,51,51,78,79,79,79,79,94,95,79,79,79,79,79,51,51,51,51,79,94,95,79,79,79,79,79,51,51
51,51,51,51,51,51,51,107,107,51,51,51,51,51,51,107,107,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
55,51,51,55,55,51,51,51,51,51,51,55,55,51,51,51,51,51,51,55,55,51,51,55,55,51,51,55,55,51,51,55
55,51,51,55,55,51,51,55,55,51,51,55,55,51,51,55,55,51,51,55,55,51,51,55,55,51,51,55,55,51,51,55
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
