[MAP_WIDTH]
320
[MAP_HEIGHT]
576
[SPRITE_ID_CELLS]
97,98,97,98,97,98,97,98,97,98,97,98,97,98,97,98,97,98,97,98
109,110,109,110,109,110,109,110,109,110,109,110,109,110,109,110,109,110,109,110
97,98,97,98,97,98,97,98,97,98,97,98,97,98,97,98,97,98,97,98
109,110,109,110,109,110,109,110,109,110,109,110,109,110,109,110,109,110,109,110
97,98,97,98,77,77,77,77,77,77,77,77,77,77,77,89,97,98,97,98
109,110,109,110,89,69,69,77,89,69,69,77,77,77,77,89,109,110,109,110
97,98,97,98,76,81,81,64,76,81,81,64,65,64,65,88,97,98,97,98
109,110,109,110,88,81,81,65,88,81,81,65,64,65,64,76,109,110,109,110
97,98,97,98,76,93,93,64,76,93,93,64,65,64,65,88,97,98,97,98
109,110,109,110,88,105,105,65,88,105,105,65,64,65,64,76,109,110,109,110
97,98,97,98,65,64,65,64,65,64,65,64,65,64,65,88,97,98,97,98
109,110,109,110,64,65,64,65,64,65,64,65,64,65,64,76,109,110,109,110
97,98,97,98,65,64,65,64,65,64,65,64,65,64,65,88,97,98,97,98
109,110,109,110,66,67,67,67,67,67,67,68,64,65,64,76,109,110,109,110
97,98,97,98,66,67,67,67,67,67,67,68,65,64,65,88,97,98,97,98
109,110,109,110,101,79,79,79,79,79,79,80,64,65,64,76,109,110,109,110
97,98,97,98,65,64,65,64,65,64,65,64,65,64,65,88,97,98,97,98
109,110,109,110,64,65,64,65,64,65,64,65,64,65,64,76,109,110,109,110
97,98,97,98,65,64,65,64,65,64,65,64,65,64,65,88,97,98,97,98
109,110,109,110,64,65,64,65,64,65,64,65,64,65,64,76,109,110,109,110
97,98,97,98,65,64,65,64,65,64,65,64,65,64,65,88,97,98,97,98
109,110,109,110,64,65,64,65,64,65,64,65,64,65,64,76,109,110,109,110
97,98,97,98,65,64,65,64,66,67,67,67,67,67,67,67,97,98,97,98
109,110,109,110,64,65,64,76,66,67,67,67,67,67,67,67,109,110,109,110
97,98,97,98,65,64,65,88,101,79,79,79,79,79,79,79,97,98,97,98
109,110,109,110,64,65,64,65,64,65,64,65,64,65,64,76,109,110,109,110
97,98,97,98,65,64,65,64,61,62,63,64,65,64,65,88,97,98,97,98
109,110,109,110,64,65,64,65,73,74,75,65,64,65,64,76,109,110,109,110
97,98,97,98,65,64,65,64,85,86,87,64,65,64,65,88,97,98,97,98
109,110,109,110,64,65,64,65,64,65,64,65,64,65,64,76,109,110,109,110
97,98,97,98,65,64,65,64,65,64,65,64,65,64,65,88,97,98,97,98
109,110,109,110,64,65,64,65,64,65,64,65,64,65,64,76,109,110,109,110
97,98,97,98,97,98,97,98,97,98,97,98,97,98,97,98,97,98,97,98
109,110,109,110,109,110,109,110,109,110,109,110,109,110,109,110,109,110,109,110
97,98,97,98,97,98,97,98,97,98,97,98,97,98,97,98,97,98,97,98
109,110,109,110,109,110,109,110,109,110,109,110,109,110,109,110,109,110,109,110
