[MAP_WIDTH]
1024
[MAP_HEIGHT]
240
[SPRITE_ID_CELLS]
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128
102,104,40,100,101,30,40,100,101,19,40,100,101,19,40,100,101,19,40,100,101,19,40,100,101,19,40,100,101,19,40,100,101,19,40,100,101,19,40,100,101,19,40,100,101,19,40,100,101,19,40,100,101,19,40,100,101,19,40,102,103,76,77,77
113,115,29,122,123,30,29,111,112,30,29,122,123,30,29,111,112,30,29,111,112,30,29,122,123,30,29,122,123,30,29,111,112,30,29,122,123,30,29,111,112,30,29,122,123,30,29,122,123,30,29,111,112,30,29,111,112,30,29,113,114,87,88,87
113,115,29,39,40,41,29,122,123,30,29,39,40,41,29,111,112,30,29,122,123,30,29,39,40,41,29,39,40,41,29,122,123,30,29,39,40,41,29,111,112,30,29,39,40,41,29,39,40,41,29,122,123,30,29,111,112,30,29,113,114,87,88,87
113,115,29,29,29,29,29,39,40,41,29,29,29,29,29,111,112,30,29,39,40,41,29,29,29,29,29,29,29,29,29,39,40,41,29,29,29,29,29,111,112,30,29,29,29,29,29,29,29,29,29,39,40,41,29,111,112,30,29,113,100,87,88,87
102,104,29,29,29,29,29,29,29,29,29,29,29,29,29,122,123,30,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,122,123,30,29,29,29,29,29,29,29,29,29,29,29,29,29,122,123,30,29,113,111,87,88,87
113,114,29,29,29,29,29,29,29,29,29,29,29,29,29,39,40,41,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,39,40,41,29,29,29,29,29,29,29,29,29,29,29,29,29,39,40,41,29,113,116,87,88,87
113,114,1,2,3,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,113,127,87,88,87
113,114,12,13,14,13,38,38,38,38,38,38,38,38,38,38,38,38,38,36,36,36,36,36,36,38,38,38,38,38,38,36,36,36,36,36,36,38,38,38,38,38,38,36,36,36,36,36,36,38,38,38,38,38,38,38,38,38,38,124,106,98,99,99
26,25,24,25,26,25,24,25,26,23,24,25,26,23,24,25,26,23,24,27,36,36,36,36,26,23,24,25,26,23,24,25,36,36,36,36,26,23,24,25,26,23,24,27,36,36,36,36,26,23,24,25,26,23,24,25,26,23,24,25,26,23,24,25
37,34,35,36,37,34,35,36,37,34,35,36,37,34,35,36,37,34,35,36,36,36,36,36,37,34,35,36,37,34,35,36,36,36,36,36,37,34,35,36,37,34,35,36,36,36,36,36,37,34,35,36,37,34,35,36,37,34,35,36,37,34,35,36
36,45,36,36,36,45,36,36,36,45,36,36,36,45,36,36,36,45,36,36,36,36,36,36,36,45,36,36,36,45,36,36,36,36,36,36,36,45,36,36,36,45,36,36,36,36,36,36,36,45,36,36,36,45,36,36,36,45,36,36,36,45,36,36
125,56,125,125,125,56,125,125,125,56,125,125,125,56,125,125,125,56,125,125,125,125,125,125,125,56,125,125,125,56,125,125,125,125,125,125,125,56,125,125,125,56,125,125,125,125,125,125,125,56,125,125,125,56,125,125,125,56,125,125,125,56,125,125
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
